Ticker,Date/Time,Open,High,Low,Close,Volume,prevclose,rsi,ema5,ema10,hma5,hma7,hma9,adx,pdi,mdi,atr
NIFTY,3/9/1990,407.13,407.13,407.13,407.13,0,400.06,86.14,392.53,378.98,409.28,406.77,403.21,55.31,86.91,14.28,6.78
NIFTY,4/9/1990,392.47,392.47,392.47,392.47,0,407.13,72.89,392.51,381.43,403.34,405.84,405.46,54.68,73.99,27.02,7.57
NIFTY,5/9/1990,389.82,389.82,389.82,389.82,0,392.47,70.78,391.61,382.95,390.38,396.77,402.39,53.8,71.91,29.08,7.08
NIFTY,6/9/1990,396.51,396.51,396.51,396.51,0,389.82,72.92,393.24,385.42,390.79,392.59,398.35,53.28,73.9,27.01,7.04
NIFTY,7/9/1990,404.11,404.11,404.11,404.11,0,396.51,75.14,396.87,388.82,401.18,397.93,398.06,53.1,75.99,24.85,7.1
NIFTY,10/9/1990,411.11,411.11,411.11,411.11,0,404.11,77.02,401.61,392.87,411.97,407.86,403.13,53.18,77.75,23.02,7.09
NIFTY,11/9/1990,422.07,422.07,422.07,422.07,0,411.11,79.61,408.43,398.18,422.99,419.86,412.75,53.62,80.21,20.49,7.47
NIFTY,12/9/1990,414.16,414.16,414.16,414.16,0,422.07,73.19,410.34,401.09,422.58,423.43,419.28,53.13,73.88,26.76,7.52
NIFTY,14/9/1990,396.5,396.5,396.5,396.5,0,414.16,61.31,405.73,400.25,404.15,411.56,416.18,51.02,62.09,38.44,8.53
NIFTY,18/9/1990,415.18,415.18,415.18,415.18,0,396.5,67.35,408.88,402.97,403.51,406.91,413.2,49.89,67.92,32.53,9.55
NIFTY,19/9/1990,419.46,419.46,419.46,419.46,0,415.18,68.56,412.41,405.96,417.67,412.89,413.15,49.01,69.09,31.34,9.02
NIFTY,20/9/1990,421.32,421.32,421.32,421.32,0,419.46,69.1,415.38,408.76,424.68,421.3,416.97,48.27,69.61,30.82,8.3
NIFTY,21/9/1990,434.08,434.08,434.08,434.08,0,421.32,72.55,421.61,413.36,433.15,431.13,425.32,48.07,72.97,27.41,8.75
NIFTY,25/9/1990,452.36,452.36,452.36,452.36,0,434.08,76.6,431.86,420.45,451.06,447.09,438.5,48.44,76.91,23.42,9.7
NIFTY,26/9/1990,436.16,436.16,436.16,436.16,0,452.36,67.16,433.29,423.31,450.14,451.1,446.22,47.46,67.52,32.76,10.35
NIFTY,27/9/1990,439.72,439.72,439.72,439.72,0,436.16,68.09,435.44,426.29,440.55,446.77,448.96,46.67,68.43,31.84,9.67
